#Units1,#Units2,activation,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
30,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.854795296986898,3.0648221174875894,0.06109388884761964,57.239728371302284,0.633967838378039,78
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,1.9598772128423054,3.0746424992879233,0.038719458163812684,57.460315545399986,0.7775539496677515,79
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,1.9090604384740193,3.0841612815856934,0.09429829549347372,87.06365855534871,0.790251211877588,80
30,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.8768321673075357,3.0865837732950845,0.06887699796339052,57.46904865900675,0.5404900415498853,81
30,10,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.470386266708374,3.0879488786061606,0.1073785067719097,87.17074457804362,1.3802786491750456,82
50,20,<built-in method relu of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.3838143348693848,3.090815623601278,0.11577283335215213,85.92851996421814,0.7962621337813625,83
50,10,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.5510078271230063,3.093547979990641,0.14703491702169302,86.33541870117188,1.3286883618907777,84
30,10,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.32948891321818,3.1048370997111,0.03936553663176198,57.519179264704384,0.40771309768338093,85
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,1.9002663294474285,3.115234057108561,0.0749592050147324,57.920810063680015,0.6229201918563038,86
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,1.962201674779256,3.1175662676493325,0.07492809316944843,87.34249973297119,0.7546737790304356,87
50,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.932693878809611,3.119518756866455,0.05085588545521813,57.14364552497864,0.9885947672254105,88
50,10,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.590707778930664,3.127950429916382,0.07538505216569875,87.09458645184834,0.23230351491856832,89
30,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,2.935563802719116,3.128110647201538,0.04805125594879604,57.10775542259216,0.7033121670276995,90
