rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,param_neurons_layer_1,weight_decay,mean_fit_time
548,7.962065696716309,0.1708560613171917,7.829773902893066,0.04425832934317454,relu,64,300,glorot_uniform,0.001,0.0,False,120,0.01,1.9526215394337971
549,7.963129838307698,0.05366979524376189,7.890629768371582,0.16540076284582497,relu,128,300,glorot_uniform,0.001,0.4,False,120,0.001,1.504592736562093
550,7.969504038492839,0.10700074125466051,7.894371668497722,0.18057114867752455,relu,128,300,glorot_uniform,0.001,0.4,False,80,0.0001,1.5067195892333984
551,8.014434814453125,0.1991349909586023,7.907334009806315,0.09880917178486023,relu,128,300,glorot_uniform,0.001,0.4,False,80,0.001,1.4937047163645427
552,8.046613375345865,1.6312222770148155,8.476277033487955,1.5679138620403306,relu,128,300,glorot_uniform,0.3,0.2,False,40,0.1,1.1389081478118896
553,8.049304803212484,0.6253027623017089,7.876216570536296,0.8208362404196569,relu,64,300,glorot_uniform,0.1,0.0,False,120,0.1,1.7806007067362468
554,8.093052864074707,0.05371231563653239,7.990101973215739,0.10589848675585924,relu,128,300,glorot_uniform,0.001,0.4,False,120,0.0001,1.5431959629058838
555,8.108611106872559,2.1360659178841406,7.962575912475586,2.084386481708016,relu,256,300,glorot_uniform,0.3,0.9,False,40,0.01,0.823132594426473
556,8.113347371419271,0.1318603482501192,8.026891072591146,0.24143775115123417,relu,1219,300,glorot_uniform,0.01,0.2,False,40,0.01,0.6424956321716309
557,8.140377839406332,1.7962078985872858,8.089945952097574,1.7985049379069589,relu,64,300,glorot_uniform,0.1,0.2,False,40,0.1,1.7174312273661296
558,8.141440550486246,0.1630940697910811,8.04952621459961,0.02431764467002897,relu,1219,300,glorot_uniform,0.01,0.2,False,120,0.01,0.6729265054066976
559,8.157140890757242,0.2350815015107716,8.044089476267496,0.05586911085132581,relu,64,300,glorot_uniform,0.001,0.0,False,80,0.01,2.949589808781942
560,8.214387575785318,0.08902862327553397,8.118010679880777,0.10246030998103996,relu,128,300,glorot_uniform,0.001,0.4,False,40,0.0001,1.3080390294392903
561,8.22824223836263,0.21974354684431868,8.139349619547525,0.11853505961976189,relu,128,300,glorot_uniform,0.001,0.4,False,40,0.001,1.3501400152842205
562,8.250908533732096,0.2277443096056011,8.189494132995605,0.09159837499415502,relu,1219,300,glorot_uniform,0.01,0.2,False,80,0.01,0.6010855833689371
563,8.305835247039795,1.359082197338033,8.305257479349772,1.3134485567381025,relu,256,300,glorot_uniform,0.3,0.2,False,40,0.1,0.9604252974192301
564,8.317838350931803,0.062228980084570916,8.209499677022299,0.18211385786634954,relu,64,300,glorot_uniform,0.001,0.0,False,40,0.01,1.898816744486491
565,8.351576805114746,0.13795252699525215,8.249073028564453,0.1215931028871504,relu,128,300,glorot_uniform,0.001,0.4,False,120,0.01,1.4161335627237956
